id,line,start,through,end
1,Bedford-Brighton,Bedford,,Brighton
2,Bedford-Three Bridges,Bedford,,Three Bridges
3,Cambridge-Brighton,Cambridge,,Brighton
4,London Blackfriars-Sevenoaks,London Blackfriars,,Sevenoaks
5,Luton-Rainham,Luton,,Rainham
6,Peterborough-Horsham,Peterborough,,Horsham
7,St Albans City-Mitcham Junction-Sutton,St Albans City,Mitcham Junction,Sutton
8,St Albans City-Wimbledon-Sutton,St Albans City,Wimbledon,Sutton
